Idea_Name,Idea_Description,Character_Count_Header,Character_Count_Description,Capitals,Layout,Headline_Positioning,Number_of_Images,Body_Font,Heading_Font,Heading_Size,Body_Size,Image_Theme
"DETOX YOUR 
BODY & MIND","A range of products formulated with 16 organic botanicals and flowers to have a calming effect on mind. Discover the bar soap, underarm mist and bath infusion to detoxify your skin and relax your soul.",24,201,Capitals,Layout_1,Middle_Central_Heading_Position,1,Helvetica_Neue_Font,Helvetica_Neue_Font,32,20,Product_Image_Theme
NEW [Brand] Milk Swirls Bath Bomb Macadamia Milk & Salted Caramel Bath Bomb,"Give your skin a treat with our pampering bath bombs, infused with [RTB]. Our ultra gentle and milky lather surrounds you with a delicious scent and instantly nourish skin leaving it feeling soft and smooth",74,208,Not_Capitals,Layout_2,Above_Central_Heading_Position,3,Century_Gothic_Font,Century_Gothic_Font,24,18,Food_Image_Theme
NEW [Brand] Milk Swirls Bath Bomb Mint Chocolate Bath Bomb,"Give your skin a treat with our pampering bath bombs, infused with [RTB]. Our ultra gentle and milky lather surrounds you with a delicious scent and instantly nourish skin leaving it feeling soft and smooth",57,208,Not_Capitals,Layout_2,Above_Central_Heading_Position,3,Century_Gothic_Font,Century_Gothic_Font,24,18,Food_Image_Theme
NEW [Brand] Milk Swirls Bath Bomb Coconut Milk & Roasted Pistachio Bath Bomb,"Give your skin a treat with our pampering bath bombs, infused with [RTB]. Our ultra gentle and milky lather surrounds you with a delicious scent and instantly nourish skin leaving it feeling soft and smooth.",75,209,Not_Capitals,Layout_2,Above_Central_Heading_Position,3,Century_Gothic_Font,Century_Gothic_Font,24,18,Food_Image_Theme
NEW [Brand] Milk Swirls Bath Bomb Almond Milk & Pumpkin Spice Bath Bomb,"Give your skin a treat with our pampering bath bombs, infused with [RTB]. Our ultra gentle and milky lather surrounds you with a delicious scent and instantly nourish skin leaving it feel soft and smooth.",71,209,Not_Capitals,Layout_2,Above_Central_Heading_Position,3,Century_Gothic_Font,Century_Gothic_Font,24,18,Food_Image_Theme
NEW [Brand] Milk Swirls Bath Bomb Mocha Cappuccino Bath Bomb,"Give your skin a treat with our pampering bath bombs, infused with [RTB]. Our ultra gentle and milky lather surrounds you with a delicious scent and instantly nourish skin leaving it feeling soft and smooth.",60,209,Not_Capitals,Layout_2,Above_Central_Heading_Position,3,Century_Gothic_Font,Century_Gothic_Font,24,18,Food_Image_Theme
NEW [Brand] Milk Swirls Bath Bomb Raspberry Vanilla Creamsicle Bath Bomb,"Give your skin a treat with our pampering bath bombs, infused with [RTB]. Our ultra gentle and milky lather surrounds you with a delicious scent and instantly nourish skin leaving it feeling soft and smooth.",72,209,Not_Capitals,Layout_2,Above_Central_Heading_Position,3,Century_Gothic_Font,Century_Gothic_Font,24,18,Food_Image_Theme
NEW [Brand] Milk Swirls Bath Bomb Lavender Honey Bath Bomb,"Give your skin a treat with our pampering bath bombs, infused with [RTB]. Our ultra gentle and milky lather surrounds you with a delicious scent and instantly nourish skin leaving it feeling soft and smooth.",58,209,Not_Capitals,Layout_2,Above_Central_Heading_Position,3,Century_Gothic_Font,Century_Gothic_Font,24,18,Food_Image_Theme
NEW [Brand] Milk Swirls Bath Bomb -Whipped Eggnog Bath Bomb,"Give your skin a treat with our pampering bath bombs, infused with [RTB]. Our ultra gentle and milky lather surrounds you with a delicious scent and instantly nourish skin leaving it feeling soft and smooth.",59,209,Not_Capitals,Layout_2,Above_Central_Heading_Position,3,Century_Gothic_Font,Century_Gothic_Font,24,18,Food_Image_Theme
NEW [Brand] Milk Swirls Bath Bomb Toasted Coconut Bath Bomb,"Give your skin a treat with our pampering bath bombs, infused with [RTB]. Our ultra gentle and milky lather surrounds you with a delicious scent and instantly nourish skin leaving it feeling soft and smooth",59,208,Not_Capitals,Layout_2,Above_Central_Heading_Position,3,Century_Gothic_Font,Century_Gothic_Font,24,18,Food_Image_Theme
NEW [Brand] Milk Swirls Bath Bomb Spiced Pumpkin Bath Bomb,"Give your skin a treat with our pampering bath bombs, infused with [RTB]. Our ultra gentle and milky lather surrounds you with a delicious scent and instantly nourish skin leaving it feeling soft and smooth",58,208,Not_Capitals,Layout_2,Above_Central_Heading_Position,3,Century_Gothic_Font,Century_Gothic_Font,24,18,Food_Image_Theme
